Sides,Internal angle,External angle,Radius,Apothem,Height,Width,Centroid x-offset,Centroid y-offset
3,2.0943951023932,1.0471975511966,0.577350269189626,1,1.57735026918963,1,0.5,0.577350269189626
4,1.5707963267949,1.5707963267949,0.707106781186547,0.707106781186547,1.41421356237309,1.41421356237309,0.707106781186547,0.707106781186547
5,1.25663706143592,1.88495559215388,0.85065080835204,0.618033988749895,1.46868479710193,1.53884176858763,0.809016994374947,0.85065080835204
6,1.0471975511966,2.0943951023932,1,0.577350269189626,1.15470053837925,2,0.866025403784439,1
7,0.897597901025655,2.24399475256414,1.15238243548124,0.554958132087371,1.70734056756861,2.19064313376741,1.12348980185873,1.15238243548124
8,0.785398163397448,2.35619449019234,1.30656296487638,0.541196100146197,1.08239220029239,1.08239220029239,1.30656296487638,1.30656296487638
